Team;TS%;eFG%;Total S%;ORB%;DRB%;TRB%;AST%;TOV%;STL%;BLK%;PPS;FIC40;ORtg;DRtg;eDiff;Poss;Pace;Season
Boston;.600;.566;166.4;22.1;78.5;50.7;63.2;12.0;6.3;9.3;1.3;78.1;118.0;111.5;6.5;8196.4;98.5;2022-2023
Cleveland;.590;.556;163.5;23.6;76.3;49.9;60.0;12.3;7.4;8.8;1.3;71.9;116.1;110.6;5.6;7927.3;95.7;2022-2023
Philadelphia;.608;.563;170.9;21.6;77.2;49.9;61.6;12.6;7.9;9.1;1.4;73.9;117.7;113.3;4.4;8023.9;96.9;2022-2023
Memphis;.570;.540;155.9;26.5;75.9;51.2;59.6;11.7;8.2;10.8;1.3;77.4;115.1;111.2;3.9;8330.1;101.1;2022-2023
Milwaukee;.583;.555;158.3;25.0;77.8;52.4;60.4;12.7;6.3;8.3;1.3;77.3;115.5;111.9;3.6;8304.9;100.5;2022-2023
Denver;.601;.573;163.4;24.8;76.4;51.3;66.3;13.1;7.7;8.3;1.3;78.4;117.6;114.2;3.4;8076.7;98.1;2022-2023
New York;.577;.541;158.5;28.3;77.1;52.6;54.6;11.4;6.5;8.0;1.3;72.3;117.8;114.9;3.0;8073.6;97.1;2022-2023
Sacramento;.608;.572;165.3;22.7;77.2;50.2;62.6;11.9;6.9;6.0;1.4;77.5;119.4;116.8;2.6;8287.5;100.3;2022-2023
Phoenix;.570;.535;163.5;26.6;76.0;50.8;64.7;11.9;7.2;9.8;1.3;74.3;115.2;113.1;2.1;8092.7;98.2;2022-2023
New Orleans;.582;.543;163.7;24.7;77.4;51.1;61.6;12.9;8.3;8.1;1.3;73.0;114.4;112.5;1.9;8194.8;99.1;2022-2023
Golden State;.600;.571;165.8;24.4;76.0;50.7;69.1;14.1;7.0;7.2;1.3;77.6;116.2;114.4;1.8;8394.4;101.6;2022-2023
Toronto;.555;.517;157.7;27.8;76.7;50.4;57.1;10.3;9.6;10.4;1.2;72.7;115.5;114.0;1.5;8012.2;97.1;2022-2023
Chicago;.587;.550;166.0;20.1;77.8;49.4;57.5;12.2;7.9;9.0;1.3;72.3;113.5;112.2;1.3;8172.3;98.5;2022-2023
Oklahoma City;.570;.531;163.0;24.7;72.9;48.4;56.7;11.2;8.1;7.9;1.3;72.7;115.2;114.2;1.1;8359.7;101.0;2022-2023
Brooklyn;.598;.562;166.5;19.6;73.7;47.3;61.6;12.6;7.2;11.0;1.3;73.4;115.0;114.2;0.9;8080.8;98.3;2022-2023
L.A. Lakers;.582;.542;160.3;22.8;76.3;50.5;58.9;12.3;6.3;8.0;1.3;74.7;114.5;114.0;0.6;8390.5;101.3;2022-2023
L.A. Clippers;.588;.551;163.9;22.9;76.6;50.1;58.1;12.8;7.2;8.1;1.3;71.4;115.1;114.6;0.5;8093.7;98.0;2022-2023
Atlanta;.579;.541;165.3;25.1;75.8;50.2;56.0;11.2;7.0;8.6;1.3;75.5;116.6;116.3;0.3;8328.4;100.7;2022-2023
Dallas;.599;.565;160.1;18.0;75.5;46.4;57.3;11.4;6.4;6.8;1.4;68.3;116.8;116.7;0.1;8018.6;96.6;2022-2023
Minnesota;.592;.560;161.1;21.5;74.3;48.4;61.0;13.6;7.9;9.8;1.3;73.2;113.7;113.8;0.0;8347.1;101.0;2022-2023
Miami;.574;.530;163.5;22.8;77.7;49.2;60.8;12.4;8.2;6.2;1.3;67.8;113.0;113.4;-0.3;7941.9;96.2;2022-2023
Utah;.584;.547;161.2;26.8;75.2;51.4;61.1;13.3;6.0;9.2;1.3;74.4;115.8;116.7;-0.9;8290.6;100.5;2022-2023
