Team;GP;MPG;PPG;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;ORB;DRB;RPG;APG;SPG;BPG;TOV;PF;Season
Miami;82;48.3;109.5;39.2;85.3;.460;12.0;34.8;.344;19.1;23.0;.831;9.7;30.9;40.6;23.8;8.0;3.0;13.5;18.5;2022-2023
Detroit;82;48.3;110.3;39.6;87.1;.454;11.4;32.4;.351;19.8;25.7;.771;11.2;31.3;42.4;23.0;7.0;3.8;15.1;22.1;2022-2023
Houston;82;48.2;110.7;40.6;88.9;.457;10.4;31.9;.327;19.1;25.3;.754;13.4;32.9;46.3;22.4;7.3;4.6;16.2;20.5;2022-2023
Charlotte;82;48.4;111.0;41.3;90.4;.457;10.7;32.5;.330;17.6;23.6;.749;11.0;33.5;44.5;25.1;7.7;5.2;14.2;20.3;2022-2023
Orlando;82;48.2;111.4;40.5;86.3;.470;10.8;31.1;.346;19.6;25.0;.784;10.2;33.1;43.2;23.2;7.4;4.7;15.1;20.1;2022-2023
Cleveland;82;48.5;112.3;41.6;85.2;.488;11.6;31.6;.367;17.5;22.5;.780;9.7;31.4;41.1;24.9;7.1;4.7;13.3;19.0;2022-2023
Toronto;82;48.3;112.9;41.9;91.3;.459;10.7;32.0;.335;18.4;23.4;.784;12.7;30.3;43.0;23.9;9.4;5.2;11.7;20.0;2022-2023
San Antonio;82;48.4;113.0;43.1;92.6;.465;11.1;32.2;.345;15.8;21.2;.743;11.8;31.9;43.7;27.2;7.0;3.9;15.3;19.9;2022-2023
Chicago;82;48.5;113.1;42.5;86.8;.490;10.4;28.9;.361;17.6;21.8;.809;8.5;33.9;42.4;24.5;7.9;4.5;13.4;18.9;2022-2023
Washington;82;48.2;113.2;42.1;86.9;.485;11.3;31.7;.356;17.6;22.4;.785;9.4;34.2;43.6;25.4;6.8;5.2;14.1;18.8;2022-2023
Brooklyn;82;48.1;113.4;41.5;85.1;.487;12.8;33.8;.378;17.7;22.1;.800;8.2;32.3;40.5;25.5;7.1;6.2;13.7;21.1;2022-2023
Portland;82;48.1;113.4;40.5;85.4;.474;12.9;35.3;.365;19.6;24.6;.796;9.4;31.1;40.5;24.2;6.7;4.6;14.4;20.0;2022-2023
L.A. Clippers;82;48.4;113.6;41.1;86.1;.477;12.7;33.4;.381;18.7;23.9;.781;9.8;33.4;43.2;23.9;7.1;4.4;14.2;19.5;2022-2023
Phoenix;82;48.2;113.6;42.1;90.1;.467;12.2;32.6;.374;17.2;21.7;.793;11.8;32.4;44.2;27.3;7.1;5.3;13.5;21.2;2022-2023
Dallas;82;48.6;114.2;40.0;84.3;.475;15.2;41.0;.371;19.0;25.1;.755;7.6;31.2;38.8;22.9;6.3;3.7;12.2;20.7;2022-2023
