Team;PTS/DIFF;FGM/DIFF;FGA/DIFF;FG%/DIFF;3PM/DIFF;3PA/DIFF;3P%/DIFF;FTM/DIFF;FTA/DIFF;FT%/DIFF;OR/DIFF;DR/DIFF;REB/DIFF;AST/DIFF;STL/DIFF;BLK/DIFF;TO/DIFF;PF/DIFF;Season
Boston;+6.5;+0.4;-1.4;+1.2;+4.4;+8.8;+3.1;+1.2;+0.4;+4.3;0.0;+1.3;+1.3;+3.5;-0.2;+1.3;+0.7;-0.3;2022-2023
Cleveland ;+5.3;+2.5;+1.6;+2.0;+0.3;+0.9;-0.1;0.0;0.0;-0.1;0.0;0.0;-0.1;+1.9;+0.1;+0.2;-2.2;-1.4;2022-2023
Philadelphia;+4.3;+0.4;-1.6;+1.4;+1.0;-0.7;+3.8;+2.4;+1.4;+5.4;-0.8;+0.5;-0.2;+0.9;+1.1;+0.1;-0.6;+0.8;2022-2023
Memphis;+3.9;+2.9;+2.2;+2.1;-0.9;-2.3;-0.4;-1.0;+0.2;-5.3;+1.0;+1.1;+2.2;-0.3;+1.4;+0.5;-1.5;0.0;2022-2023
Milwaukee;+3.6;+0.2;-2.8;+1.7;+2.7;+6.1;+1.4;+0.3;+1.4;-3.3;+0.4;+4.0;+4.4;+1.8;-0.6;+0.9;+2.3;-0.9;2022-2023
Denver ;+3.3;+1.8;-0.9;+2.6;+0.4;-1.8;+3.4;-0.7;-0.3;-2.4;0.0;+2.2;+2.1;+3.2;-0.3;+0.2;+0.9;-0.9;2022-2023
New York;+2.9;+1.2;+1.2;+0.7;-0.3;-0.7;-0.3;+0.8;+1.7;-2.0;+2.4;+2.1;+4.5;-2.2;+0.3;-0.3;0.0;-0.3;2022-2023
Sacramento ;+2.6;-0.1;-0.6;+0.1;+1.2;+3.9;-0.4;+1.7;+2.1;+0.3;-0.1;+0.4;+0.2;+0.6;-0.2;-0.8;-0.5;-1.1;2022-2023
Phoenix;+2.0;+2.1;+4.1;+0.1;+0.7;+0.5;+1.7;-2.9;-3.9;+0.6;+1.5;-0.2;+1.3;+3.9;0.0;+1.2;-0.7;+1.3;2022-2023
New Orleans;+1.8;+1.0;+0.9;+0.7;-1.2;-5.9;+2.4;+0.9;+0.7;+1.3;+0.9;+1.0;+1.9;+0.9;+0.9;-0.5;-0.3;0.0;2022-2023
Golden State;+1.8;+0.7;-0.3;+1.0;+3.6;+7.6;+2.1;-3.3;-5.0;+2.5;-0.1;+1.4;+1.2;+4.0;-0.7;0.0;+2.1;+3.0;2022-2023
Toronto ;+1.4;+1.4;+8.9;-3.1;-1.4;-0.6;-3.8;0.0;+0.3;-1.3;+3.4;-2.7;+0.7;-2.2;+3.4;+0.5;-4.6;+0.4;2022-2023
Chicago;+1.2;+1.8;-0.3;+2.2;-2.8;-8.2;+0.3;+0.4;-0.2;+3.0;-1.1;+0.1;-0.9;-1.5;+1.1;-0.2;-1.4;+0.1;2022-2023
Oklahoma City;+1.0;+1.1;+4.1;-0.8;-0.7;-1.9;-0.2;-0.4;-1.7;+3.7;-0.5;-2.3;-2.9;-1.5;+1.2;-1.3;-3.6;+0.5;2022-2023
Brooklyn ;+0.8;+0.4;-3.4;+2.4;+0.9;+1.5;+1.1;-1.0;-2.3;+3.2;-3.2;-1.3;-4.6;+2.1;+0.1;+2.3;-0.1;+2.5;2022-2023
L.A. Lakers;+0.5;-1.1;-4.8;+1.3;-1.7;-5.2;+0.2;+4.5;+5.8;+0.1;-1.0;+1.9;+0.8;-0.3;-1.1;-0.4;+1.3;-3.5;2022-2023
L.A. Clippers;+0.5;-0.7;-2.2;+0.3;+0.5;0.0;+1.5;+1.4;+1.5;+1.0;-0.4;+0.5;0.0;-1.0;-0.7;+0.2;+1.1;0.0;2022-2023
Atlanta;+0.2;+0.8;+2.1;-0.2;-1.1;-2.9;-0.4;-0.1;-0.5;+1.5;+0.6;-0.3;+0.2;-1.0;-0.4;-0.1;-1.1;-0.8;2022-2023
Dallas ;0.0;-1.7;-1.9;-0.9;+4.0;+9.3;+1.8;-0.5;+0.1;-2.5;-2.4;-3.4;-5.9;-2.0;0.0;0.0;-0.7;-1.1;2022-2023
Minnesota;0.0;+1.0;-1.3;+1.9;-0.1;0.0;-0.4;-2.0;-2.3;-1.0;-2.1;-0.5;-2.7;+1.1;-0.2;+1.3;0.0;+1.3;2022-2023
Miami;-0.3;-0.8;+2.0;-2.2;-1.1;-0.9;-2.3;+2.6;+1.9;+5.0;+0.8;-2.0;-1.2;-1.7;+1.0;-0.8;-2.2;-1.5;2022-2023
Utah ;-0.9;-0.8;-1.8;0.0;+0.8;+3.2;-0.8;0.0;-0.4;+0.9;+0.5;+1.8;+2.4;+1.0;-1.6;+0.2;+2.8;0.0;2022-2023
Washington;-1.2;-0.3;-2.8;+1.2;-0.7;-1.0;-1.0;+0.1;+0.5;-1.3;-1.3;+1.9;+0.5;+0.5;-0.2;+0.2;+1.4;-0.6;2022-2023
Orlando;-2.5;-0.8;-0.6;-0.5;-2.2;-5.8;-0.5;+1.2;+1.9;-1.1;+0.6;+0.5;+1.1;-2.6;-0.3;-0.4;+0.2;-0.3;2022-2023
Indiana ;-3.1;-1.2;+0.2;-1.5;+1.1;+3.6;-0.5;-1.7;-1.9;-0.9;-1.9;-1.7;-3.7;+0.6;-0.2;+0.4;-0.1;+0.9;2022-2023
Portland;-4.0;-2.5;-2.1;-1.7;+0.3;+2.1;-1.3;+0.6;+0.5;+0.9;-1.0;-1.6;-2.6;-2.8;-1.0;+0.2;+0.7;-0.4;2022-2023
Charlotte ;-6.2;-1.6;+0.2;-1.9;-1.5;-1.7;-2.6;-1.4;-0.4;-4.5;0.0;-1.7;-1.6;-0.7;+0.7;-0.5;0.0;0.0;2022-2023
Houston ;-7.8;-1.8;+0.7;-2.4;-4.0;-6.8;-4.6;-0.1;+1.1;-3.9;+2.9;+1.8;+4.7;-3.7;-1.4;-1.6;+2.8;-0.1;2022-2023
Detroit;-8.2;-3.5;-1.0;-3.4;-0.6;-0.8;-0.8;-0.5;-0.5;-0.5;+0.1;-2.4;-2.2;-2.7;-0.6;-1.7;+1.5;+1.1;2022-2023
San Antonio;-10.0;-3.0;+1.6;-4.1;-1.5;-0.1;-4.5;-2.4;-2.4;-2.7;+1.0;-2.3;-1.2;+0.4;-1.1;-1.3;+1.5;+1.3;2022-2023
Phoenix;+7.5;+4.4;+1.7;+4.0;0.0;-2.3;+2.3;-1.3;-2.7;+3.6;-0.7;+1.5;+0.8;+4.5;+1.0;+0.3;-1.6;+0.9;2021-2022
Boston;+7.2;+2.4;-0.6;+3.1;+1.4;+2.2;+1.7;+0.8;+0.2;+3.3;0.0;+2.2;+2.3;+3.2;-0.3;+1.2;0.0;-0.8;2021-2022
Utah ;+6.0;+0.1;-3.0;+1.7;+2.4;+5.7;+0.9;+3.3;+4.0;+0.8;+0.9;+3.8;+4.7;-0.9;-0.5;+0.6;+1.8;-1.4;2021-2022
Memphis;+5.6;+3.2;+5.7;+0.6;-0.5;-1.8;+0.3;-0.2;+0.7;-3.7;+4.1;+2.0;+6.1;+1.0;+2.5;+0.4;-1.9;0.0;2021-2022
Golden State;+5.5;+2.5;-0.1;+3.0;+2.1;+3.4;+2.4;-1.7;-2.6;+1.0;0.0;+2.7;+2.8;+4.2;+0.8;+0.6;+0.6;+3.0;2021-2022
Miami;+4.4;+2.0;+0.8;+1.9;+0.6;-2.4;+4.0;-0.2;-1.1;+2.8;+0.2;+1.7;+2.0;+2.2;0.0;-0.7;-0.3;0.0;2021-2022
Milwaukee;+3.3;+0.4;-1.2;+1.1;-0.4;-2.1;+0.9;+2.8;+3.0;+2.4;+0.3;+2.2;+2.6;-1.9;+0.1;-0.3;+0.3;-1.4;2021-2022
Dallas ;+3.3;+0.2;-0.2;+0.4;+2.1;+5.2;+1.0;+0.5;+0.6;+0.3;-0.2;-0.3;-0.6;0.0;-0.2;+0.3;-0.8;-0.4;2021-2022
Minnesota;+2.6;+1.3;+3.5;-0.3;+1.7;+3.9;+0.7;-1.8;-2.2;-0.2;+0.2;-1.9;-1.7;-0.5;+1.5;+0.7;-1.7;+0.8;2021-2022
Philadelphia;+2.6;-0.2;-2.0;+0.7;+0.2;-1.0;+1.8;+2.9;+2.2;+5.1;-1.6;-0.1;-1.8;+0.1;+1.1;+0.6;-0.7;0.0;2021-2022
Denver ;+2.3;+0.5;-1.0;+1.2;+0.8;+1.6;+0.6;+0.2;-0.7;+3.8;-0.5;+2.2;+1.7;+2.4;-0.6;-1.0;+1.6;0.0;2021-2022
Toronto ;+2.2;+1.6;+6.9;-1.7;-0.4;-0.6;-0.5;-0.5;0.0;-3.0;+3.0;-1.7;+1.2;-3.2;+2.3;-0.4;-3.4;+0.5;2021-2022
Cleveland ;+2.1;+0.2;-2.5;+1.6;0.0;-0.4;+0.1;+1.7;+2.6;-1.4;-0.2;+1.5;+1.3;+1.0;-1.3;-0.4;+0.4;-2.5;2021-2022
Atlanta;+1.5;-0.4;-0.6;-0.1;0.0;-0.8;+1.0;+2.3;+2.3;+2.0;-0.1;+0.3;+0.1;-0.8;+0.1;-0.2;-0.7;-1.6;2021-2022
Brooklyn ;+0.7;+1.2;-1.7;+2.3;-1.0;-4.5;+1.6;-0.6;-1.3;+1.7;-1.0;+1.2;+0.2;+1.4;-0.8;+0.5;+0.8;+0.6;2021-2022
Charlotte ;+0.4;+0.7;+1.3;+0.1;0.0;-0.4;+0.3;-1.0;-0.7;-2.2;-0.5;-1.8;-2.3;+1.6;+1.0;+0.3;-1.6;+0.2;2021-2022
San Antonio;+0.1;+0.7;+1.5;0.0;-0.8;-1.5;-0.7;-0.6;-0.4;-1.3;-0.3;-1.0;-1.4;+3.8;+0.3;0.0;-0.7;-0.8;2021-2022
L.A. Clippers;0.0;-0.7;-3.1;+0.8;+1.0;+0.2;+2.9;+0.3;0.0;+1.8;-2.8;-0.2;-3.1;0.0;-0.2;+0.8;0.0;+0.1;2021-2022
New York;-0.1;-0.8;+0.2;-1.0;+0.5;0.0;+1.4;+0.9;+1.8;-2.0;+2.1;+0.3;+2.4;-2.3;0.0;+0.2;+0.5;0.0;2021-2022
Chicago;-0.3;+0.3;-0.5;+0.6;-1.0;-3.1;+0.2;0.0;-0.4;+1.8;-0.6;-0.2;-0.8;-1.1;0.0;-0.9;-0.2;+0.6;2021-2022
New Orleans;-0.9;0.0;+2.4;-1.4;-2.3;-3.4;-3.3;+1.5;+1.8;+0.3;+2.7;+0.7;+3.4;0.0;+0.9;-0.7;-0.3;-0.8;2021-2022
L.A. Lakers;-3.0;-0.9;-1.7;-0.1;-0.6;-1.3;-0.4;-0.5;-0.3;-1.4;-1.4;-1.1;-2.6;-2.2;-0.7;+1.0;+0.5;0.0;2021-2022
Washington;-3.3;-0.6;-2.8;+0.7;-0.9;-1.1;-1.8;-1.0;-0.6;-2.3;-1.2;+0.1;-1.1;+1.3;-0.9;+0.7;+1.3;-1.0;2021-2022
Indiana ;-3.4;-1.0;+1.5;-2.0;+0.1;+3.0;-2.8;-1.5;-1.1;-2.8;+1.1;-0.3;+0.7;+0.2;-1.0;+0.6;+1.1;+1.2;2021-2022
Sacramento ;-5.4;-2.9;-2.5;-1.9;-1.5;-1.7;-2.7;+1.9;+2.7;-0.8;-1.0;-1.8;-2.8;-1.6;-0.9;-0.3;+0.9;-1.3;2021-2022
Detroit;-7.7;-2.4;+2.6;-4.2;-0.5;+2.0;-3.6;-2.2;-3.0;+0.5;+0.6;-3.9;-3.2;-1.6;+0.2;-0.4;-0.4;+2.1;2021-2022
Orlando;-8.0;-2.5;-0.7;-2.4;-1.0;+0.5;-3.2;-1.9;-2.8;+1.4;-1.2;-1.5;-2.8;-1.0;-1.2;-0.7;+1.2;+1.3;2021-2022
Oklahoma City;-8.0;-3.1;-1.3;-2.8;-1.5;-1.2;-2.9;-0.2;0.0;-1.5;-0.6;-2.1;-2.7;-3.9;-0.8;-1.3;+0.6;+0.4;2021-2022
Houston ;-8.4;-4.0;-3.5;-2.7;+0.6;+2.4;-0.4;-1.0;+0.8;-6.8;-1.5;-2.0;-3.6;-2.0;-2.1;-1.1;+2.3;-1.4;2021-2022
Portland;-8.8;-2.5;+1.2;-3.6;-1.0;-0.3;-2.4;-2.6;-2.9;-1.6;+0.6;-2.5;-1.8;-3.7;-0.1;-0.5;+0.3;+1.6;2021-2022
Utah ;+9.2;+0.3;-3.2;+2.1;+5.8;+11.1;+4.7;+2.6;+2.5;+3.1;+0.8;+4.8;+5.6;+1.3;-1.1;+1.2;+2.5;-0.4;2020-2021
L.A. Clippers;+6.1;+1.6;+0.2;+1.8;+2.6;+2.1;+5.5;0.0;-1.4;+6.2;+0.2;+2.6;+2.9;+1.4;0.0;-0.1;0.0;+1.1;2020-2021
