Team,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%_x,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,Season,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,Total MIN,EFG%,FTA RATE,TOV%_y,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,PTS/DIFF,FGM/DIFF,FGA/DIFF,FG%/DIFF,3PM/DIFF,3PA/DIFF,3P%/DIFF,FTM/DIFF,FTA/DIFF,FT%/DIFF,OR/DIFF,DR/DIFF,REB/DIFF,AST/DIFF,STL/DIFF,BLK/DIFF,TO/DIFF,PF/DIFF,PTS/ OPP,FGM/ OPP,FGA/ OPP,FG%/ OPP,3PM/ OPP,3PA/ OPP,3P%/ OPP,FTM/ OPP,FTA/ OPP,FT%/ OPP,OR/ OPP,DR/ OPP,REB/ OPP,AST/ OPP,STL/ OPP,BLK/ OPP,TO/ OPP,PF/ OPP
Boston,0.6,0.566,166.4,22.1,78.5,50.7,63.2,12.0,6.3,9.3,1.3,78.1,118.0,111.5,6.5,8196.4,98.5,2022-2023,82,48.7,117.9,42.2,88.8,0.475,16.0,42.6,0.377,17.5,21.6,0.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,74.0,3.0,14.0,0.0,0.0,2.0,0.0,142.0,6.5,36.0,1.632,2.0,0.5,0.197,57.0,25.0,0.695,3996.0,56.6,0.243,13.3,25.5,52.8,0.234,12.6,25.4,6.5,0.4,-1.4,1.2,4.4,8.8,3.1,1.2,0.4,4.3,0.0,1.3,1.3,3.5,-0.2,1.3,0.7,-0.3,111.4,41.8,90.2,46.3,11.6,33.7,34.5,16.2,21.1,76.9,9.7,34.3,44.0,23.1,6.6,3.9,12.0,19.1
Cleveland,0.59,0.556,163.5,23.6,76.3,49.9,60.0,12.3,7.4,8.8,1.3,71.9,116.1,110.6,5.6,7927.3,95.7,2022-2023,82,48.5,112.3,41.6,85.2,0.488,11.6,31.6,0.367,17.5,22.5,0.78,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19.0,89.0,0.0,17.0,1.0,0.0,1.0,1.0,145.0,5.4,10.0,1.6,1.9,0.5,0.206,51.0,31.0,0.622,3976.0,55.6,0.264,13.7,27.3,53.5,0.268,16.1,28.5,5.3,2.5,1.6,2.0,0.3,0.9,-0.1,0.0,0.0,-0.1,0.0,0.0,-0.1,1.9,0.1,0.2,-2.2,-1.4,106.9,39.0,83.5,46.8,11.3,30.6,36.8,17.5,22.4,78.2,9.8,31.5,41.2,23.0,7.0,4.4,14.7,20.4
Philadelphia,0.608,0.563,170.9,21.6,77.2,49.9,61.6,12.6,7.9,9.1,1.4,73.9,117.7,113.3,4.4,8023.9,96.9,2022-2023,82,48.5,115.2,40.8,83.8,0.487,12.6,32.6,0.387,21.0,25.1,0.835,8.7,32.2,40.9,25.2,7.7,4.7,13.7,20.4,99.0,10.0,14.0,0.0,2.0,11.0,3.0,147.0,4.3,25.0,1.616,1.8,0.6,0.25,54.0,28.0,0.659,3976.0,56.3,0.3,13.9,25.8,54.1,0.277,14.5,27.9,4.3,0.4,-1.6,1.4,1.0,-0.7,3.8,2.4,1.4,5.4,-0.8,0.5,-0.2,0.9,1.1,0.1,-0.6,0.8,110.9,40.4,85.4,47.3,11.6,33.4,34.8,18.5,23.7,78.1,9.5,31.6,41.2,24.2,6.6,4.6,13.5,19.6
Memphis,0.57,0.54,155.9,26.5,75.9,51.2,59.6,11.7,8.2,10.8,1.3,77.4,115.1,111.2,3.9,8330.1,101.1,2022-2023,82,48.2,116.9,43.7,92.1,0.475,12.0,34.2,0.351,17.5,23.8,0.733,12.0,34.6,46.6,26.0,8.3,5.8,13.6,20.0,84.0,9.0,3.0,2.0,0.0,3.0,15.0,151.0,3.9,42.0,1.596,1.9,0.6,0.19,51.0,31.0,0.622,3956.0,54.0,0.259,13.3,30.2,52.6,0.262,14.8,28.9,3.9,2.9,2.2,2.1,-0.9,-2.3,-0.4,-1.0,0.2,-5.3,1.0,1.1,2.2,-0.3,1.4,0.5,-1.5,0.0,113.0,40.7,89.8,45.3,13.0,36.6,35.5,18.5,23.5,78.7,11.0,33.4,44.4,26.4,6.8,5.2,14.4,20.0
Milwaukee,0.583,0.555,158.3,25.0,77.8,52.4,60.4,12.7,6.3,8.3,1.3,77.3,115.5,111.9,3.6,8304.9,100.5,2022-2023,82,48.4,116.9,42.7,90.4,0.473,14.8,40.3,0.368,16.6,22.4,0.743,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,126.0,11.0,14.0,5.0,0.0,1.0,12.0,150.0,3.6,41.0,1.604,1.8,0.4,0.184,58.0,24.0,0.707,3966.0,55.5,0.248,14.3,28.4,52.0,0.225,11.6,25.5,3.6,0.2,-2.8,1.7,2.7,6.1,1.4,0.3,1.4,-3.3,0.4,4.0,4.4,1.8,-0.6,0.9,2.3,-0.9,113.3,42.5,93.2,45.6,12.1,34.1,35.4,16.3,21.0,77.6,10.7,33.5,44.2,23.9,7.0,3.9,11.5,19.0
Denver,0.601,0.573,163.4,24.8,76.4,51.3,66.3,13.1,7.7,8.3,1.3,78.4,117.6,114.2,3.4,8076.7,98.1,2022-2023,82,48.2,115.8,43.6,86.4,0.504,11.8,31.2,0.379,16.8,22.4,0.751,10.1,32.9,43.0,28.9,7.5,4.5,14.5,18.6,85.0,32.0,6.0,2.0,0.0,1.0,0.0,146.0,3.3,34.0,1.663,2.0,0.5,0.194,53.0,29.0,0.646,3951.0,57.3,0.259,14.7,28.9,54.3,0.26,13.6,27.3,3.3,1.8,-0.9,2.6,0.4,-1.8,3.4,-0.7,-0.3,-2.4,0.0,2.2,2.1,3.2,-0.3,0.2,0.9,-0.9,112.5,41.7,87.4,47.8,11.4,33.1,34.4,17.6,22.7,77.5,10.1,30.7,40.8,25.7,7.9,4.2,12.9,19.5
NewYork,0.577,0.541,158.5,28.3,77.1,52.6,54.6,11.4,6.5,8.0,1.3,72.3,117.8,114.9,3.0,8073.6,97.1,2022-2023,82,48.7,116.0,42.0,89.4,0.47,12.6,35.7,0.354,19.4,25.5,0.761,12.6,34.0,46.6,22.9,6.4,4.1,13.0,20.3,73.0,1.0,11.0,2.0,0.0,1.0,4.0,142.0,2.9,23.0,1.546,1.8,0.5,0.217,47.0,35.0,0.573,3991.0,54.1,0.285,13.1,31.8,53.6,0.269,12.9,27.3,2.9,1.2,1.2,0.7,-0.3,-0.7,-0.3,0.8,1.7,-2.0,2.4,2.1,4.5,-2.2,0.3,-0.3,0.0,-0.3,113.1,40.8,88.2,46.2,13.0,36.5,35.7,18.5,23.7,78.2,10.1,31.9,42.0,25.1,6.0,4.5,12.0,20.7
Sacramento,0.608,0.572,165.3,22.7,77.2,50.2,62.6,11.9,6.9,6.0,1.4,77.5,119.4,116.8,2.6,8287.5,100.3,2022-2023,82,48.4,120.7,43.6,88.2,0.494,13.8,37.3,0.369,19.8,25.1,0.79,9.5,32.9,42.5,27.3,7.0,3.4,13.5,19.7,82.0,15.0,2.0,5.0,0.0,1.0,0.0,176.0,2.6,31.0,1.626,2.0,0.5,0.225,48.0,34.0,0.585,3966.0,57.2,0.284,13.3,26.5,56.3,0.258,13.9,26.9,2.6,-0.1,-0.6,0.1,1.2,3.9,-0.4,1.7,2.1,0.3,-0.1,0.4,0.2,0.6,-0.2,-0.8,-0.5,-1.1,118.1,43.8,88.9,49.2,12.5,33.4,37.3,18.1,23.0,78.7,9.7,32.5,42.2,26.7,7.3,4.2,13.6,20.9
Phoenix,0.57,0.535,163.5,26.6,76.0,50.8,64.7,11.9,7.2,9.8,1.3,74.3,115.2,113.1,2.1,8092.7,98.2,2022-2023,82,48.2,113.6,42.1,90.1,0.467,12.2,32.6,0.374,17.2,21.7,0.793,11.8,32.4,44.2,27.3,7.1,5.3,13.5,21.2,78.0,2.0,7.0,2.0,0.0,3.0,3.0,134.0,2.1,35.0,1.647,2.0,0.5,0.191,45.0,37.0,0.549,3956.0,53.5,0.241,13.6,30.7,53.2,0.298,14.5,28.6,2.0,2.1,4.1,0.1,0.7,0.5,1.7,-2.9,-3.9,0.6,1.5,-0.2,1.3,3.9,0.0,1.2,-0.7,1.3,111.6,40.0,85.9,46.6,11.4,32.0,35.7,20.1,25.6,78.6,10.2,32.6,42.9,23.4,7.2,4.0,13.6,19.9
NewOrleans,0.582,0.543,163.7,24.7,77.4,51.1,61.6,12.9,8.3,8.1,1.3,73.0,114.4,112.5,1.9,8194.8,99.1,2022-2023,82,48.4,114.4,42.0,87.6,0.48,11.0,30.1,0.364,19.3,24.4,0.793,10.6,33.1,43.7,25.9,8.3,4.1,14.6,20.5,69.0,2.0,6.0,1.0,0.0,6.0,0.0,138.0,1.9,37.0,1.616,1.8,0.6,0.221,42.0,40.0,0.512,3971.0,54.3,0.279,14.5,29.0,54.3,0.272,14.9,26.8,1.8,1.0,0.9,0.7,-1.2,-5.9,2.4,0.9,0.7,1.3,0.9,1.0,1.9,0.9,0.9,-0.5,-0.3,0.0,112.5,40.9,86.6,47.2,12.2,36.0,33.9,18.4,23.6,77.9,9.7,32.1,41.8,24.9,7.3,4.7,14.3,20.4
GoldenState,0.6,0.571,165.8,24.4,76.0,50.7,69.1,14.1,7.0,7.2,1.3,77.6,116.2,114.4,1.8,8394.4,101.6,2022-2023,82,48.4,118.9,43.1,90.2,0.479,16.6,43.2,0.385,16.0,20.2,0.794,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,51.0,1.0,12.0,1.0,0.0,3.0,0.0,157.0,1.8,51.0,1.691,1.8,0.4,0.178,44.0,38.0,0.537,3966.0,57.1,0.224,15.8,27.7,54.0,0.278,13.8,28.1,1.8,0.7,-0.3,1.0,3.6,7.6,2.1,-3.3,-5.0,2.5,-0.1,1.4,1.2,4.0,-0.7,0.0,2.1,3.0,117.1,42.4,90.5,46.8,12.9,35.5,36.4,19.4,25.2,76.9,10.7,32.6,43.3,25.7,7.9,4.0,13.5,18.4
Toronto,0.555,0.517,157.7,27.8,76.7,50.4,57.1,10.3,9.6,10.4,1.2,72.7,115.5,114.0,1.5,8012.2,97.1,2022-2023,82,48.3,112.9,41.9,91.3,0.459,10.7,32.0,0.335,18.4,23.4,0.784,12.7,30.3,43.0,23.9,9.4,5.2,11.7,20.0,88.0,4.0,1.0,1.0,1.0,7.0,2.0,143.0,1.5,32.0,1.571,2.1,0.8,0.201,41.0,41.0,0.5,3961.0,51.7,0.257,11.8,31.6,56.5,0.28,16.9,27.9,1.4,1.4,8.9,-3.1,-1.4,-0.6,-3.8,0.0,0.3,-1.3,3.4,-2.7,0.7,-2.2,3.4,0.5,-4.6,0.4,111.4,40.4,82.3,49.1,12.2,32.6,37.4,18.4,23.1,79.7,9.2,33.0,42.3,26.2,6.0,4.6,15.9,19.6
Chicago,0.587,0.55,166.0,20.1,77.8,49.4,57.5,12.2,7.9,9.0,1.3,72.3,113.5,112.2,1.3,8172.3,98.5,2022-2023,82,48.5,113.1,42.5,86.8,0.49,10.4,28.9,0.361,17.6,21.8,0.809,8.5,33.9,42.4,24.5,7.9,4.5,13.4,18.9,75.0,1.0,11.0,1.0,0.0,3.0,0.0,144.0,1.3,31.0,1.575,1.8,0.6,0.203,40.0,42.0,0.488,3981.0,55.0,0.251,13.3,23.6,54.4,0.253,15.0,26.4,1.2,1.8,-0.3,2.2,-2.8,-8.2,0.3,0.4,-0.2,3.0,-1.1,0.1,-0.9,-1.5,1.1,-0.2,-1.4,0.1,111.8,40.7,87.1,46.8,13.2,37.1,35.7,17.1,22.0,77.9,9.6,33.7,43.3,26.0,6.7,4.7,14.2,18.7
OklahomaCity,0.57,0.531,163.0,24.7,72.9,48.4,56.7,11.2,8.1,7.9,1.3,72.7,115.2,114.2,1.1,8359.7,101.0,2022-2023,82,48.4,117.5,43.1,92.6,0.465,12.1,34.1,0.356,19.2,23.7,0.809,11.4,32.3,43.6,24.4,8.2,4.2,13.0,21.0,51.0,5.0,6.0,0.0,0.0,3.0,0.0,153.0,1.1,11.0,1.567,1.9,0.6,0.207,40.0,42.0,0.488,3971.0,53.1,0.256,12.7,28.9,54.7,0.288,16.3,30.7,1.0,1.1,4.1,-0.8,-0.7,-1.9,-0.2,-0.4,-1.7,3.7,-0.5,-2.3,-2.9,-1.5,1.2,-1.3,-3.6,0.5,116.4,41.9,88.4,47.4,12.9,36.0,35.8,19.6,25.5,77.1,12.0,34.7,46.6,25.9,7.0,5.5,16.2,20.4
Brooklyn,0.598,0.562,166.5,19.6,73.7,47.3,61.6,12.6,7.2,11.0,1.3,73.4,115.0,114.2,0.9,8080.8,98.3,2022-2023,82,48.1,113.4,41.5,85.1,0.487,12.8,33.8,0.378,17.7,22.1,0.8,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,60.0,6.0,12.0,0.0,0.0,1.0,5.0,143.0,0.9,40.0,1.616,1.9,0.5,0.208,45.0,37.0,0.549,3946.0,56.2,0.26,13.9,23.4,53.0,0.276,13.9,31.1,0.8,0.4,-3.4,2.4,0.9,1.5,1.1,-1.0,-2.3,3.2,-3.2,-1.3,-4.6,2.1,0.1,2.3,-0.1,2.5,112.5,41.0,88.5,46.3,11.8,32.2,36.7,18.7,24.4,76.7,11.5,33.6,45.1,23.4,7.0,3.9,13.0,18.5
L.A.Lakers,0.582,0.542,160.3,22.8,76.3,50.5,58.9,12.3,6.3,8.0,1.3,74.7,114.5,114.0,0.6,8390.5,101.3,2022-2023,82,48.5,117.2,42.9,89.0,0.482,10.8,31.2,0.346,20.6,26.6,0.775,10.0,35.7,45.7,25.3,6.4,4.6,14.1,17.9,97.0,9.0,8.0,4.0,0.0,2.0,3.0,143.0,0.6,24.0,1.589,1.8,0.5,0.232,43.0,39.0,0.524,3976.0,54.2,0.299,13.7,26.9,53.5,0.222,12.3,27.3,0.5,-1.1,-4.8,1.3,-1.7,-5.2,0.2,4.5,5.8,0.1,-1.0,1.9,0.8,-0.3,-1.1,-0.4,1.3,-3.5,116.6,44.0,93.9,46.9,12.5,36.5,34.4,16.1,20.8,77.3,11.1,33.8,44.9,25.7,7.6,5.1,12.1,21.5
L.A.Clippers,0.588,0.551,163.9,22.9,76.6,50.1,58.1,12.8,7.2,8.1,1.3,71.4,115.1,114.6,0.5,8093.7,98.0,2022-2023,82,48.4,113.6,41.1,86.1,0.477,12.7,33.4,0.381,18.7,23.9,0.781,9.8,33.4,43.2,23.9,7.1,4.4,14.2,19.5,59.0,3.0,5.0,2.0,0.0,3.0,2.0,175.0,0.5,29.0,1.581,1.7,0.5,0.217,44.0,38.0,0.537,3966.0,55.1,0.278,14.3,27.3,54.3,0.253,13.0,26.9,0.5,-0.7,-2.2,0.3,0.5,0.0,1.5,1.4,1.5,1.0,-0.4,0.5,0.0,-1.0,-0.7,0.2,1.1,0.0,113.1,41.8,88.3,47.4,12.2,33.4,36.5,17.2,22.3,77.1,10.2,32.9,43.1,25.0,7.8,4.2,12.4,19.6
Atlanta,0.579,0.541,165.3,25.1,75.8,50.2,56.0,11.2,7.0,8.6,1.3,75.5,116.6,116.3,0.3,8328.4,100.7,2022-2023,82,48.4,118.4,44.6,92.4,0.483,10.8,30.5,0.352,18.5,22.6,0.818,11.2,33.2,44.4,25.0,7.1,4.9,12.9,18.8,113.0,3.0,5.0,2.0,1.0,3.0,1.0,143.0,0.3,32.0,1.56,1.9,0.5,0.2,41.0,41.0,0.5,3971.0,54.1,0.244,12.6,28.9,55.2,0.257,13.8,28.3,0.2,0.8,2.1,-0.2,-1.1,-2.9,-0.4,-0.1,-0.5,1.5,0.6,-0.3,0.2,-1.0,-0.4,-0.1,-1.1,-0.8,118.1,43.8,90.2,48.6,11.9,33.5,35.6,18.6,23.2,80.3,10.6,33.5,44.1,26.0,7.5,5.0,13.5,19.7
Dallas,0.599,0.565,160.1,18.0,75.5,46.4,57.3,11.4,6.4,6.8,1.4,68.3,116.8,116.7,0.1,8018.6,96.6,2022-2023,82,48.6,114.2,40.0,84.3,0.475,15.2,41.0,0.371,19.0,25.1,0.755,7.6,31.2,38.8,22.9,6.3,3.7,12.2,20.7,57.0,12.0,16.0,1.0,0.0,0.0,2.0,142.0,0.1,32.0,1.573,1.9,0.5,0.225,38.0,44.0,0.463,3986.0,56.5,0.298,12.4,22.6,54.9,0.29,13.3,28.3,0.0,-1.7,-1.9,-0.9,4.0,9.3,1.8,-0.5,0.1,-2.5,-2.4,-3.4,-5.9,-2.0,0.0,0.0,-0.7,-1.1,114.1,41.8,86.2,48.5,11.1,31.7,35.2,19.5,25.0,78.1,10.1,34.6,44.7,24.9,6.4,3.8,12.4,21.8
Minnesota,0.592,0.56,161.1,21.5,74.3,48.4,61.0,13.6,7.9,9.8,1.3,73.2,113.7,113.8,0.0,8347.1,101.0,2022-2023,82,48.4,115.8,42.9,87.4,0.49,12.2,33.3,0.365,17.9,23.7,0.755,9.1,32.8,41.9,26.2,8.0,5.4,15.3,21.6,82.0,5.0,1.0,5.0,0.0,7.0,2.0,151.0,0.0,55.0,1.61,1.7,0.5,0.205,42.0,40.0,0.512,3966.0,56.0,0.271,15.0,25.8,54.0,0.293,15.0,29.7,0.0,1.0,-1.3,1.9,-0.1,0.0,-0.4,-2.0,-2.3,-1.0,-2.1,-0.5,-2.7,1.1,-0.2,1.3,0.0,1.3,115.8,41.8,88.7,47.1,12.3,33.3,36.9,19.9,26.0,76.6,11.3,33.3,44.7,25.0,8.2,4.1,14.7,20.2
Miami,0.574,0.53,163.5,22.8,77.7,49.2,60.8,12.4,8.2,6.2,1.3,67.8,113.0,113.4,-0.3,7941.9,96.2,2022-2023,82,48.3,109.5,39.2,85.3,0.46,12.0,34.8,0.344,19.1,23.0,0.831,9.7,30.9,40.6,23.8,8.0,3.0,13.5,18.5,62.0,2.0,1.0,0.0,0.0,7.0,0.0,138.0,-0.3,23.0,1.608,1.8,0.6,0.224,44.0,38.0,0.537,3961.0,53.0,0.27,13.8,27.4,56.1,0.253,16.1,26.7,-0.3,-0.8,2.0,-2.2,-1.1,-0.9,-2.3,2.6,1.9,5.0,0.8,-2.0,-1.2,-1.7,1.0,-0.8,-2.2,-1.5,109.8,40.1,83.2,48.2,13.1,35.8,36.7,16.5,21.1,78.1,8.9,33.0,41.8,25.6,7.0,3.8,15.0,20.0
Utah,0.584,0.547,161.2,26.8,75.2,51.4,61.1,13.3,6.0,9.2,1.3,74.4,115.8,116.7,-0.9,8290.6,100.5,2022-2023,82,48.3,117.1,42.5,89.8,0.473,13.3,37.8,0.353,18.7,23.8,0.786,11.8,34.1,45.9,26.0,6.1,5.2,15.3,20.5,86.0,5.0,4.0,1.0,0.0,1.0,11.0,139.0,-0.9,16.0,1.611,1.7,0.4,0.209,37.0,45.0,0.451,3961.0,54.7,0.265,15.1,30.8,54.1,0.265,12.3,28.9,-0.9,-0.8,-1.8,0.0,0.8,3.2,-0.8,0.0,-0.4,0.9,0.5,1.8,2.4,1.0,-1.6,0.2,2.8,0.0,118.0,43.4,91.6,47.3,12.5,34.5,36.1,18.8,24.3,77.6,11.2,32.2,43.5,25.0,7.8,4.9,12.0,20.5
Washington,0.585,0.55,162.5,22.6,76.1,50.4,60.3,12.7,6.9,9.1,1.3,73.5,114.4,115.6,-1.2,8111.9,98.6,2022-2023,82,48.2,113.2,42.1,86.9,0.485,11.3,31.7,0.356,17.6,22.4,0.785,9.4,34.2,43.6,25.4,6.8,5.2,14.1,18.8,67.0,3.0,3.0,1.0,0.0,5.0,4.0,142.0,-1.2,18.0,1.603,1.8,0.5,0.202,35.0,47.0,0.427,3951.0,55.0,0.258,14.2,27.3,54.0,0.244,12.3,27.6,-1.2,-0.3,-2.8,1.2,-0.7,-1.0,-1.0,0.1,0.5,-1.3,-1.3,1.9,0.5,0.5,-0.2,0.2,1.4,-0.6,114.4,42.5,89.8,47.3,12.0,32.8,36.6,17.5,21.9,79.8,10.8,32.3,43.0,24.8,7.1,5.0,11.8,19.4
