Team;Total MIN;EFG%;FTA RATE;TOV%;OREB%;OPP EFG%;OPP FTA RATE;OPP TOV%;OPP OREB%;Season
Milwaukee;3966;55.5;0.248;14.3;28.4;52.0;0.225;11.6;25.5;2022-2023
Boston;3996;56.6;0.243;13.3;25.5;52.8;0.234;12.6;25.4;2022-2023
Philadelphia;3976;56.3;0.300;13.9;25.8;54.1;0.277;14.5;27.9;2022-2023
Denver;3951;57.3;0.259;14.7;28.9;54.3;0.260;13.6;27.3;2022-2023
Cleveland;3976;55.6;0.264;13.7;27.3;53.5;0.268;16.1;28.5;2022-2023
Memphis;3956;54.0;0.259;13.3;30.2;52.6;0.262;14.8;28.9;2022-2023
Sacramento;3966;57.2;0.284;13.3;26.5;56.3;0.258;13.9;26.9;2022-2023
New York;3991;54.1;0.285;13.1;31.8;53.6;0.269;12.9;27.3;2022-2023
Brooklyn;3946;56.2;0.260;13.9;23.4;53.0;0.276;13.9;31.1;2022-2023
Phoenix;3956;53.5;0.241;13.6;30.7;53.2;0.298;14.5;28.6;2022-2023
Golden State;3966;57.1;0.224;15.8;27.7;54.0;0.278;13.8;28.1;2022-2023
L.A. Clippers;3966;55.1;0.278;14.3;27.3;54.3;0.253;13.0;26.9;2022-2023
Miami;3961;53.0;0.270;13.8;27.4;56.1;0.253;16.1;26.7;2022-2023
L.A. Lakers;3976;54.2;0.299;13.7;26.9;53.5;0.222;12.3;27.3;2022-2023
Minnesota;3966;56.0;0.271;15.0;25.8;54.0;0.293;15.0;29.7;2022-2023
New Orleans;3971;54.3;0.279;14.5;29.0;54.3;0.272;14.9;26.8;2022-2023
Atlanta;3971;54.1;0.244;12.6;28.9;55.2;0.257;13.8;28.3;2022-2023
Toronto;3961;51.7;0.257;11.8;31.6;56.5;0.280;16.9;27.9;2022-2023
Chicago;3981;55.0;0.251;13.3;23.6;54.4;0.253;15.0;26.4;2022-2023
Oklahoma City;3971;53.1;0.256;12.7;28.9;54.7;0.288;16.3;30.7;2022-2023
Dallas;3986;56.5;0.298;12.4;22.6;54.9;0.290;13.3;28.3;2022-2023
Utah;3961;54.7;0.265;15.1;30.8;54.1;0.265;12.3;28.9;2022-2023
Indiana;3951;54.5;0.265;14.6;28.5;55.4;0.287;14.8;31.5;2022-2023
Washington;3951;55.0;0.258;14.2;27.3;54.0;0.244;12.3;27.6;2022-2023
Orlando;3956;53.2;0.290;15.1;28.1;55.0;0.265;14.6;27.0;2022-2023
Portland;3946;54.9;0.289;14.5;26.4;56.3;0.276;13.6;29.1;2022-2023
Charlotte;3966;51.6;0.261;13.9;27.6;54.4;0.266;14.0;28.3;2022-2023
Houston;3951;51.6;0.285;16.2;34.4;56.4;0.275;13.2;27.1;2022-2023
San Antonio;3971;52.5;0.229;14.8;29.9;57.6;0.260;13.5;29.1;2022-2023
Detroit;3961;52.0;0.295;15.0;29.2;55.7;0.298;13.4;29.8;2022-2023
Phoenix;3946;54.9;0.221;12.9;26.4;51.0;0.257;14.6;27.2;2021-2022
Memphis;3956;52.2;0.245;13.0;33.8;52.3;0.253;14.9;27.4;2021-2022
Golden State;3946;55.2;0.235;15.0;26.9;50.9;0.265;14.7;26.4;2021-2022
Miami;3971;54.7;0.252;14.9;27.8;52.4;0.268;15.4;26.5;2021-2022
Dallas;3951;53.8;0.249;13.0;25.6;52.1;0.241;13.6;26.7;2021-2022
Boston;3981;54.2;0.239;13.9;27.7;50.2;0.234;14.0;27.5;2021-2022
Milwaukee  ;3951;54.6;0.257;13.3;26.9;53.6;0.220;12.9;25.3;2021-2022
Philadelphia;3961;53.4;0.282;12.9;24.6;52.4;0.250;13.6;27.6;2021-2022
Utah;3946;55.5;0.271;14.3;30.0;52.1;0.216;12.3;26.2;2021-2022
Denver;3961;55.6;0.244;14.6;26.8;53.7;0.249;12.9;24.8;2021-2022
Toronto;3971;51.0;0.234;12.8;32.5;53.5;0.252;16.2;28.6;2021-2022
Chicago;3946;54.1;0.248;13.0;24.9;54.1;0.251;13.2;26.5;2021-2022
Minnesota;3956;53.9;0.254;14.1;28.4;53.5;0.291;16.0;29.4;2021-2022
Brooklyn;3951;54.0;0.246;14.1;28.1;52.1;0.255;13.3;29.6;2021-2022
Cleveland;3946;53.8;0.261;14.8;27.7;52.0;0.223;13.8;27.6;2021-2022
Atlanta ;3941;54.3;0.253;12.0;26.9;54.3;0.224;12.9;26.9;2021-2022
Charlotte;3976;54.4;0.234;13.1;27.0;54.4;0.246;14.8;29.4;2021-2022
L.A. Clippers;3956;53.1;0.224;13.9;25.4;51.4;0.216;13.7;29.4;2021-2022
New York;3956;51.3;0.280;13.7;29.1;52.1;0.259;13.1;26.0;2021-2022
New Orleans;3951;51.7;0.264;14.3;30.6;54.7;0.250;14.4;25.8;2021-2022
Washington;3966;53.2;0.252;13.3;24.7;52.9;0.251;12.0;26.9;2021-2022
San Antonio;3961;52.7;0.220;12.6;28.1;53.2;0.229;13.6;28.9;2021-2022
L.A. Lakers;3996;53.7;0.259;14.2;25.6;54.0;0.257;13.8;28.0;2021-2022
Sacramento;3961;52.5;0.264;14.0;25.9;55.1;0.226;13.4;28.6;2021-2022
Portland;3946;51.5;0.248;14.6;26.8;55.9;0.286;14.2;27.9;2021-2022
Indiana;3976;53.1;0.239;14.5;31.0;55.2;0.256;13.3;27.5;2021-2022
Oklahoma City;3961;49.7;0.223;14.0;25.6;53.3;0.220;13.2;27.3;2021-2022
Detroit;3956;49.4;0.249;14.3;27.6;54.1;0.292;14.7;29.3;2021-2022
Orlando;3956;50.3;0.223;14.4;24.9;53.2;0.254;13.1;26.5;2021-2022
Houston;3951;53.4;0.284;16.2;26.5;55.4;0.263;13.9;29.0;2021-2022
Utah;3471;56.3;0.244;14.2;28.4;50.7;0.207;11.5;24.3;2020-2021
Phoenix;3496;56.4;0.212;12.6;24.8;53.4;0.250;13.7;25.9;2020-2021
Philadelphia;3486;54.1;0.293;14.3;27.7;52.1;0.262;15.4;26.3;2020-2021
Brooklyn;3481;57.5;0.258;13.4;25.2;53.1;0.241;12.5;27.4;2020-2021
