Team;Dbl Dbl;Tpl Dbl;40 Pts;20 Reb;20 Ast;5 Stl;5 Blk;High Game;MOV;Techs;HOB;Ast/TO;Stl/TO;FT/FGA;W's;L's;Win %;Season
Milwaukee;126;11;14;5;0;1;12;150;3.6;41;1.604;1.8;0.4;.184;58;24;.707;2022-2023
Atlanta;113;3;5;2;1;3;1;143;0.3;32;1.560;1.9;0.5;.200;41;41;.500;2022-2023
Philadelphia;99;10;14;0;2;11;3;147;4.3;25;1.616;1.8;0.6;.250;54;28;.659;2022-2023
L.A. Lakers;97;9;8;4;0;2;3;143;0.6;24;1.589;1.8;0.5;.232;43;39;.524;2022-2023
Cleveland;89;0;17;1;0;1;1;145;5.4;10;1.600;1.9;0.5;.206;51;31;.622;2022-2023
Toronto;88;4;1;1;1;7;2;143;1.5;32;1.571;2.1;0.8;.201;41;41;.500;2022-2023
Utah;86;5;4;1;0;1;11;139;-0.9;16;1.611;1.7;0.4;.209;37;45;.451;2022-2023
Denver;85;32;6;2;0;1;0;146;3.3;34;1.663;2.0;0.5;.194;53;29;.646;2022-2023
Memphis;84;9;3;2;0;3;15;151;3.9;42;1.596;1.9;0.6;.190;51;31;.622;2022-2023
Charlotte;84;3;1;1;0;6;3;144;-6.2;33;1.609;1.8;0.5;.195;27;55;.329;2022-2023
Indiana;83;5;2;0;0;2;8;143;-3.2;22;1.643;1.8;0.5;.209;35;47;.427;2022-2023
Sacramento;82;15;2;5;0;1;0;176;2.6;31;1.626;2.0;0.5;.225;48;34;.585;2022-2023
Minnesota;82;5;1;5;0;7;2;151;0.0;55;1.610;1.7;0.5;.205;42;40;.512;2022-2023
Phoenix;78;2;7;2;0;3;3;134;2.1;35;1.647;2.0;0.5;.191;45;37;.549;2022-2023
Chicago;75;1;11;1;0;3;0;144;1.3;31;1.575;1.8;0.6;.203;40;42;.488;2022-2023
Boston;74;3;14;0;0;2;0;142;6.5;36;1.632;2.0;0.5;.197;57;25;.695;2022-2023
New York;73;1;11;2;0;1;4;142;2.9;23;1.546;1.8;0.5;.217;47;35;.573;2022-2023
Detroit;71;0;0;0;0;3;0;141;-8.2;36;1.581;1.5;0.5;.227;17;65;.207;2022-2023
New Orleans;69;2;6;1;0;6;0;138;1.9;37;1.616;1.8;0.6;.221;42;40;.512;2022-2023
Houston;68;3;4;1;0;1;1;142;-7.9;48;1.551;1.4;0.5;.215;22;60;.268;2022-2023
Washington;67;3;3;1;0;5;4;142;-1.2;18;1.603;1.8;0.5;.202;35;47;.427;2022-2023
Miami;62;2;1;0;0;7;0;138;-0.3;23;1.608;1.8;0.6;.224;44;38;.537;2022-2023
Brooklyn;60;6;12;0;0;1;5;143;0.9;40;1.616;1.9;0.5;.208;45;37;.549;2022-2023
Portland;59;2;17;0;0;0;3;147;-4.0;29;1.597;1.7;0.5;.230;33;49;.402;2022-2023
L.A. Clippers;59;3;5;2;0;3;2;175;0.5;29;1.581;1.7;0.5;.217;44;38;.537;2022-2023
Dallas;57;12;16;1;0;0;2;142;0.1;32;1.573;1.9;0.5;.225;38;44;.463;2022-2023
Orlando;54;0;0;0;0;2;0;135;-2.6;27;1.574;1.5;0.5;.227;34;48;.415;2022-2023
Oklahoma City;51;5;6;0;0;3;0;153;1.1;11;1.567;1.9;0.6;.207;40;42;.488;2022-2023
Golden State;51;1;12;1;0;3;0;157;1.8;51;1.691;1.8;0.4;.178;44;38;.537;2022-2023
San Antonio;41;3;0;0;0;0;1;142;-10.0;10;1.632;1.8;0.5;.170;22;60;.268;2022-2023
Cleveland;112;3;1;1;0;2;2;144;2.1;11;1.634;1.8;0.5;.198;44;38;.537;2021-2022
Atlanta;103;1;10;2;0;2;2;136;1.6;25;1.593;2.1;0.6;.205;43;39;.524;2021-2022
Phoenix;97;6;4;1;0;8;0;140;7.5;51;1.627;2.1;0.7;.176;64;18;.780;2021-2022
Milwaukee;96;5;12;1;0;4;0;142;3.4;28;1.572;1.8;0.6;.199;51;31;.622;2021-2022
