index,Columna,Media,Mediana,Moda,Rango,Varianza,Desviación Estándar,IQR
0,TS%,0.5228890620523192,0.53,0.535,0.3179072686330245,0.0017350357572524819,0.041653760421509145,0.038000000000000034
1,eFG%,0.47735151479782795,0.485,0.487,0.32859342915811085,0.0022586262303619276,0.047525006368878346,0.03999999999999998
2,Total S%,152.30904373610082,153.2,152.30904373610082,59.19999999999999,103.22428201980424,10.159935138562856,6.599999999999994
3,ORB%,28.735730170496662,28.735730170496662,28.735730170496662,21.200000000000003,14.995527065230338,3.8724058497567553,4.800000000000001
4,DRB%,71.2297257227576,71.22972572275759,71.22972572275759,20.200000000000003,13.115832619741857,3.621578746864668,4.900000000000006
5,TRB%,47.9627236799007,48.9,40.29103039288361,14.40896960711639,14.823287354621948,3.85010225248914,2.537276320099302
6,AST%,57.16459608323133,57.16459608323133,48.02105263157895,26.0,29.98165784068577,5.475550916637135,6.099999999999994
7,TOV%_x,14.012379540400298,14.012379540400296,14.012379540400296,8.9,1.7062084677307976,1.3062191499632814,1.5
8,STL%,7.983845160928853,7.983845160928854,6.706819866567828,7.8,1.0858093383963254,1.0420217552413795,1.5
9,BLK%,7.361286137879913,7.361286137879912,6.183839881393625,8.5,1.6591825488076717,1.2880926010220195,1.916160118606375
10,PPS,1.2156412157153447,1.2,1.2,0.3999999999999999,0.0032864815811888986,0.05732784298391924,0.015641215715344936
11,FIC40,62.04662713120831,62.0466271312083,62.0466271312083,38.6,35.16399337412767,5.929923555504545,6.8999999999999915
12,ORtg,106.52357301704967,106.52357301704966,106.52357301704966,27.200000000000003,17.788045435588163,4.217587632235774,4.6000000000000085
13,DRtg,106.53150481838398,106.531504818384,106.531504818384,28.799999999999997,15.95727003373163,3.9946551833333035,4.400000000000006
14,eDiff,-0.007042253521126751,-0.0070422535211267,-0.0070422535211267,28.8,18.168163163464598,4.26241283353274,4.9
15,Poss,7310.15529030979,7446.95,6140.88747220163,5074.200000000001,624112.8831917972,790.0081538767794,608.7249999999995
16,Pace,96.27627872498145,96.27627872498144,96.27627872498144,31.80000000000001,26.569872278069276,5.154597198430666,6.699999999999989
17,GP,79.42246642246643,82.0,82.0,47.0,43.95824876948884,6.630101716375763,0.0
18,MPG,48.32350136239781,48.32350136239781,48.2,1.0,0.025802811849282133,0.16063253670810945,0.19999999999999574
19,PPG,103.0041514041514,103.75,108.6,66.4,91.49885874798521,9.565503580470043,12.700000000000003
20,FGM,39.22240537240537,39.4,36.6,27.5,19.23177014223135,4.385404216515434,6.0
21,FGA,86.77918192918192,86.0,87.1,48.89999999999999,51.77915705790171,7.195773555212929,8.900000000000006
22,FG%,0.4522228327228327,0.458,0.468,0.29900000000000004,0.0013908403580062104,0.03729397214036352,0.03199999999999997
23,3PM,4.235836385836385,3.8,0.0,16.7,16.28966793167465,4.036046076505402,6.7
24,3PA,12.007203907203907,11.1,0.0,45.4,123.17164019175014,11.098271946197306,19.0
25,3P%,0.25028388278388275,0.333,0.0,0.428,0.022796605372330785,0.15098544755151333,0.357
26,FTM,20.325030525030527,19.75,18.0,19.7,11.226764660032833,3.3506364559636777,4.5
27,FTA,27.088949938949938,26.3,24.2,25.799999999999997,21.47211361875076,4.633801206218363,5.875
28,FT%,0.7517277167277167,0.754,0.745,0.249,0.001045935590507369,0.03234092748372206,0.03875000000000006
29,ORB,12.432542624166048,12.432542624166048,12.432542624166048,10.9,3.6068914959066034,1.8991817964340862,2.4000000000000004
30,DRB,30.7826538176427,30.7826538176427,30.7826538176427,17.300000000000004,4.601890103440953,2.1452016463355963,2.3999999999999986
31,RPG,43.21289844329132,43.21289844329132,43.21289844329132,18.699999999999996,5.019569680566116,2.2404396177014267,2.3999999999999986
32,APG,22.97789987789988,23.1,24.5,26.9,9.935662782883307,3.1520886381704605,3.8999999999999986
33,SPG,8.108228317272053,8.108228317272053,8.108228317272053,7.4,1.061391976590275,1.030238795906209,1.0999999999999996
34,BPG,5.0217197924388435,5.021719792438844,5.021719792438844,6.299999999999999,0.754290537618535,0.8684990141724601,0.9000000000000004
35,TOV,15.735285396590067,15.735285396590069,15.735285396590069,13.5,4.210458408749123,2.0519401572046694,1.9000000000000004
36,PF,22.896459096459097,22.7,22.7,15.5,7.172669189223863,2.678183934912586,4.099999999999998
37,Dbl Dbl,68.1119347664937,68.1119347664937,68.1119347664937,163.0,1002.8589479842758,31.66794827557156,28.0
38,Tpl Dbl,4.684951816160119,4.0,4.684951816160119,42.0,24.34154216363351,4.9337148441750776,5.0
39,40 Pts,2.558932542624166,2.0,0.0,37.0,11.211096434246413,3.3482975426694703,3.0
40,20 Reb,1.4885100074128985,1.0,0.0,39.0,6.5651019579199135,2.5622454913454162,1.4885100074128983
41,20 Ast,0.12898443291326908,0.0,0.0,10.0,0.2953920028546678,0.5434997726353414,0.0
42,5 Stl,4.683469236471461,4.683469236471461,0.0,35.0,18.809921419653826,4.337040629237156,5.0
43,5 Blk,4.833951074870274,4.0,0.0,48.0,32.77507943846728,5.724952352506288,4.0
44,High Game,133.20681986656783,133.20681986656783,133.20681986656783,84.0,97.11136057252753,9.854509656625616,12.0
45,MOV,-0.002742772424017802,0.0,-0.0027427724240178,27.4,14.83546722769825,3.8516836873889644,3.2
46,Techs,12.459599703484063,12.459599703484065,0.0,67.0,208.6164008453512,14.443559147431467,21.0
47,HOB,1.2859925871015567,1.567,1.2859925871015565,1.727,0.3296120585985773,0.5741185057099076,0.3220074128984436
48,Ast/TO,1.503780578206079,1.503780578206079,1.503780578206079,1.3000000000000003,0.041277164967103847,0.2031678246354571,0.20000000000000018
49,Stl/TO,0.5206819866567828,0.5,0.5,0.6000000000000001,0.005127044943357213,0.07160338639587666,0.09999999999999998
50,FT/FGA,0.22874499629355075,0.2287449962935507,0.2287449962935507,0.19100000000000003,0.0007401785453420778,0.02720622254819801,0.03275
51,W's,40.19495922905856,40.19495922905856,40.19495922905856,66.0,126.59115804688918,11.251273618879294,14.0
52,L's,40.283914010378055,40.283914010378055,40.283914010378055,63.0,125.83278004522003,11.217521118554671,13.0
53,Win %,0.49934840622683474,0.4993484062268347,0.4993484062268347,0.784,0.01846060125172473,0.135869795214848,0.16725
54,Total MIN,3841.337905236908,3841.337905236908,3841.337905236908,1611.0,56267.561043177026,237.20784355323713,119.66209476309223
55,EFG%,49.88142144638404,49.88142144638403,49.88142144638403,15.100000000000001,3.750331814020234,1.93657734522023,0.18142144638402868
56,FTA RATE,0.2918653366583541,0.2918653366583541,0.2918653366583541,0.239,0.0007742073649108748,0.027824582025807232,0.0008653366583541433
